80
aaaaaaaa,92,60,80,82,67,TRUE
beeee,95,85,92,77,81,TRUE
c,69,89,95,98,93,FALSE
d,81,86,96,82,72,FALSE
e,93,98,85,93,94,TRUE
???????,84,71,98,76,68,FALSE
????????,85,74,61,61,77,TRUE
?????,101,64,80,85,73,TRUE
???????,75,64,99,99,91,TRUE
???????,79,95,94,97,62,FALSE
??????????,66,72,68,95,88,FALSE
???????,85,67,72,63,71,FALSE
????,98,65,92,73,99,FALSE
?????????,75,91,68,62,90,FALSE
????,83,64,68,94,93,FALSE
???,70,69,84,95,66,TRUE
?????????,88,79,85,65,74,TRUE
??????????,84,65,85,74,95,FALSE
?????????,77,69,87,67,82,TRUE
?????,79,67,98,87,71,FALSE
????????.,75,84,68,90,72,TRUE
????????,77,84,75,82,81,FALSE
???????????,81,76,74,97,74,FALSE
??????????,63,85,64,90,67,TRUE
??????,87,69,63,68,89,FALSE
???????,97,74,96,71,61,TRUE
???????????,69,101,64,101,88,TRUE
?????,64,65,99,94,65,TRUE
???????,85,97,84,97,81,FALSE
?????,91,99,89,99,62,TRUE
????????,77,99,68,61,81,TRUE
?????,60,62,63,63,77,TRUE
?????????,95,82,60,65,79,TRUE
???????,70,75,100,63,71,TRUE
?????,96,94,96,77,70,TRUE
????????,98,98,96,85,60,TRUE
???,87,62,95,81,68,FALSE
??????,97,66,66,66,60,FALSE
??????,81,63,76,62,73,FALSE
?????????,97,75,86,94,65,FALSE
???????,81,98,96,84,83,TRUE
??????,99,96,75,65,70,TRUE
??????,80,81,100,82,86,FALSE
??????,70,90,85,71,65,FALSE
??????,79,93,82,86,101,FALSE
?????????????,89,85,100,90,92,TRUE
???????,85,92,80,70,60,TRUE
????????????,63,90,94,85,85,FALSE
???????,71,60,69,88,87,FALSE
??????,94,76,89,91,65,FALSE
???????,75,64,74,96,93,FALSE
???????,90,69,79,68,101,TRUE
??????????,91,100,92,73,84,TRUE
????????,75,75,91,69,84,TRUE
????????,95,100,94,86,82,FALSE
????????,63,68,69,74,83,FALSE
??????????,97,71,93,63,90,FALSE
denis,94,98,81,77,65,FALSE
???????????,94,79,94,94,75,TRUE
?????????,89,64,78,62,90,TRUE
??????????,93,96,65,94,64,FALSE
?????????,82,91,71,67,90,FALSE
??????,62,84,92,86,94,TRUE
????????,70,84,101,68,62,FALSE
?????,77,74,66,80,100,TRUE
??????,70,86,101,63,68,TRUE
???,64,100,95,76,83,TRUE
????????,97,68,74,71,60,FALSE
?????????,93,97,78,65,93,FALSE
?????????,79,86,80,71,75,TRUE
?????????,64,60,93,88,66,FALSE
?????,65,62,100,66,101,FALSE
??????????,87,101,69,96,64,TRUE
?????????,82,92,76,88,93,FALSE
?????,91,99,70,78,100,FALSE
????????????,96,87,87,60,81,FALSE
?????,60,76,99,63,73,TRUE
???????????,90,60,101,89,75,TRUE
????????,90,90,94,93,65,TRUE
denis,90,85,82,86,101,TRUE
